REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
VIC1,1/10/2022 0:05,4729.71,149.98,TRADE
VIC1,1/10/2022 0:10,4739.93,159.57,TRADE
VIC1,1/10/2022 0:15,4620.41,150.32,TRADE
VIC1,1/10/2022 0:20,4608.61,149.98,TRADE
VIC1,1/10/2022 0:25,4580.11,149.98,TRADE
VIC1,1/10/2022 0:30,4538.55,149.98,TRADE
VIC1,1/10/2022 0:35,4565.22,156.57,TRADE
VIC1,1/10/2022 0:40,4550.03,159.41,TRADE
VIC1,1/10/2022 0:45,4484.96,159.22,TRADE
VIC1,1/10/2022 0:50,4437.7,159.18,TRADE
VIC1,1/10/2022 0:55,4389.9,158.5,TRADE
VIC1,1/10/2022 1:00,4334.33,149.98,TRADE
VIC1,1/10/2022 1:05,4376.47,159.45,TRADE
VIC1,1/10/2022 1:10,4353.58,160.43,TRADE
VIC1,1/10/2022 1:15,4304.5,156.33,TRADE
VIC1,1/10/2022 1:20,4269.15,153.58,TRADE
VIC1,1/10/2022 1:25,4323.71,157.72,TRADE
VIC1,1/10/2022 1:30,4316.03,154.87,TRADE
VIC1,1/10/2022 1:35,4208.33,155.36,TRADE
VIC1,1/10/2022 1:40,4257.41,159.7,TRADE
VIC1,1/10/2022 1:45,4253.23,159.4,TRADE
VIC1,1/10/2022 1:50,4229.4,158.2,TRADE
VIC1,1/10/2022 1:55,4173.03,151.78,TRADE
VIC1,1/10/2022 2:00,4144.72,149.98,TRADE
VIC1,1/10/2022 2:05,4125.86,151.27,TRADE
VIC1,1/10/2022 2:10,4164.25,152.69,TRADE
VIC1,1/10/2022 2:15,4130.55,152.31,TRADE
VIC1,1/10/2022 2:20,4089.88,149.98,TRADE
VIC1,1/10/2022 2:25,4091.63,150.28,TRADE
VIC1,1/10/2022 2:30,4067.99,149.98,TRADE
VIC1,1/10/2022 2:35,4025.99,160.52,TRADE
VIC1,1/10/2022 2:40,3957.76,153.8,TRADE
VIC1,1/10/2022 2:45,4001.39,155.03,TRADE
VIC1,1/10/2022 2:50,4019.29,159.45,TRADE
VIC1,1/10/2022 2:55,3967.08,153.92,TRADE
VIC1,1/10/2022 3:00,3974.35,154.93,TRADE
VIC1,1/10/2022 3:05,4000.72,154.83,TRADE
VIC1,1/10/2022 3:10,4010.25,159.06,TRADE
VIC1,1/10/2022 3:15,4005.34,158.5,TRADE
VIC1,1/10/2022 3:20,3995.57,158.63,TRADE
VIC1,1/10/2022 3:25,4013.19,157.18,TRADE
VIC1,1/10/2022 3:30,3930.58,151.95,TRADE
VIC1,1/10/2022 3:35,3983.09,156.19,TRADE
VIC1,1/10/2022 3:40,3975.97,153.83,TRADE
VIC1,1/10/2022 3:45,3949.27,150.59,TRADE
VIC1,1/10/2022 3:50,3994.69,157.65,TRADE
VIC1,1/10/2022 3:55,3977.33,154.66,TRADE
VIC1,1/10/2022 4:00,3945.74,154.81,TRADE
VIC1,1/10/2022 4:05,3960.06,147.91,TRADE
VIC1,1/10/2022 4:10,3942.43,146.43,TRADE
VIC1,1/10/2022 4:15,3916.11,149.98,TRADE
VIC1,1/10/2022 4:20,3992.71,149.98,TRADE
VIC1,1/10/2022 4:25,4001.2,149.98,TRADE
VIC1,1/10/2022 4:30,3989.98,149.98,TRADE
VIC1,1/10/2022 4:35,4033.69,149.98,TRADE
VIC1,1/10/2022 4:40,4076.03,149.98,TRADE
VIC1,1/10/2022 4:45,4075.64,149.98,TRADE
VIC1,1/10/2022 4:50,4034.33,149.98,TRADE
VIC1,1/10/2022 4:55,3990.91,149.98,TRADE
VIC1,1/10/2022 5:00,3997.6,150.97,TRADE
VIC1,1/10/2022 5:05,4049.54,154.93,TRADE
VIC1,1/10/2022 5:10,4100.88,158.71,TRADE
VIC1,1/10/2022 5:15,4060.62,155.58,TRADE
VIC1,1/10/2022 5:20,4098.24,157.61,TRADE
VIC1,1/10/2022 5:25,4161.69,160.41,TRADE
VIC1,1/10/2022 5:30,4174.76,162.55,TRADE
